Currency,Price,Year,Brand_Model,Info,Type
US,"112,900",2022,Sea Pro Bote,2022 - Gasolina - Nuevo - N/D Mi,barcos
US,"24,900",2022,YAMAHA GP 1800,2022 - Gasolina - Nuevo - N/D Mi,barcos
US,"19,900",2022,YAMAHA WaveRunner,2022 - Gasolina - Nuevo - N/D Mi,barcos
US,"159,900",2022,YAMAHA Bote,2022 - Gasolina - Nuevo - N/D Mi,barcos
US,"229,000",2022,YAMAHA Speed Boat,2022 - Gasolina - Usado - N/D Mi,barcos
US,"159,900",2022,YAMAHA Bote,2022 - Gasolina - Usado - N/D Mi,barcos
US,"46,500",2021,YAMAHA Bote,2021 - Gasolina - Nuevo - N/D Mi,barcos
US,"139,900",2021,YAMAHA 242 24 Pies,2021 - Gasolina - Usado - N/D Mi,barcos
US,"159,900",2021,YAMAHA Bote,2021 - Gasolina - Nuevo - N/D Mi,barcos
US,"159,900",2020,Wellcraft Fisherman 262,2020 - Gasolina - Nuevo - N/D Mi,barcos
US,"29,900",2020,Sea Doo RXT X 300,2020 - Gasolina - Usado - N/D Mi,barcos
US,"7,500",2019,Sea Doo SPark,2019 - Gasolina - Usado - N/D Hr,barcos
US,"21,000",2019,YAMAHA FX 1800,2019 - Gasolina - Usado - 23 Hr,barcos
US,"14,900",2019,YAMAHA WaveRunner,2019 - Gasolina - Usado - N/D Mi,barcos
US,"17,900",2019,YAMAHA WaveRunner,2019 - Gasolina - Usado - N/D Mi,barcos
US,"19,900",2019,YAMAHA GP 1800,2019 - Gasolina - Usado - N/D Mi,barcos
US,"15,500",2018,YAMAHA WaveRunner,2018 - Gasolina - Usado - N/D Mi,barcos
US,"15,900",2018,Sea Doo RXP,2018 - Gasolina - Usado - N/D Mi,barcos
US,"9,900",2017,YAMAHA WaveRunner,2017 - Gasolina - Usado - N/D Mi,barcos
US,"14,200",2016,YAMAHA FZR,2016 - Gasolina - Usado - N/D Mi,barcos
US,"3,900",2007,Mercury 150,2007 - Gasolina - Usado - N/D Hr,barcos
US,"70,000",2005,Bote 34-Pies,2005 - Gasolina - Usado - 30 Hr,barcos
US,"55,000",2000,Scarab De recreo,2000 - Gasolina - Usado - 700 Hr,barcos
RD,10,2000,Bote Pesca,2000 - Gasolina - Usado - 6 Hr,barcos
US,"145,000",1997,Bertram Recreo,"1997 - Diesel - Usado - 1,500 Hr",barcos
US,"40,000",1989,Pro-Line 28 Pies,1989 - Gasolina - Usado - N/D Mi,barcos
